,text,Radnja,Rezija,Gluma,Muzika,Opsti utisak film,Opsti utisak komentar,Specijalni efekti
0,"Film je užasan, realna ocena 2/10. Ako vam se gleda zabavan horor koji ismeva klišee pogledajte Detention.",None,None,None,None,Negative,None,None
2,Interesantan!,None,None,None,None,Positive,None,None
3,"Odličan film, odlična recenzija.",None,None,None,None,Positive,Positive,None
4,Treba dodati i fantastičnu muziku koja prati ceo film...,None,None,None,Positive,None,None,None
6,"Dobar film, vrlo dobar. Recenzija je sve objasnila. P.S. Ja bih samo dodao, još jedna potvrda one narodne, da su žene - nužno zlo. ;-)",None,None,None,None,Positive,None,None
10,meni je ovo super film s obzirom da nisam baš fan naučne fantastike ali je ovo dobro ostvarenje Šeron je sjajna naravno,None,None,Positive,None,Positive,None,None
12,sećam se ovog horora iz klinačkih dana... mnogo dobar..  pomahnitala pena.. tako su ga prevodili na vhs kasetama.. :),None,None,None,None,Positive,None,None
13,"Savršen film, opravdana 10ka. Mada mi je od pomenutog režisera draži ""There will be blood"".",None,None,None,None,Positive,None,None
14,sjaajan.. svaka preporuka i opravdana ocena 10/10...,None,None,None,None,Positive,None,None
15,"Vrhunski film, stvarno svaka čast! Reditelja za predsednika! Velemajstorski!",None,Positive,None,None,Positive,None,None
16,"Well said :-) Prelep film... slažem se, jedna od najboljih adaptacija. I glumačka postava je briljirala.",None,None,Positive,None,Positive,None,None
18,"Stvarno genijalno, odlično odrađeno! Svaka čast, genijalna gluma, kao da su klonovi! A o kampanjama, bilo kakvim, ne treba dodatno trošiti reči. Super film.",None,None,Positive,None,Positive,None,None
19,"Osuda Nikoline glume je krajnje neosnovana. Nije osnovni smisao filma prikazati nečiji naglasak, već ispričati priču o nečijem životu, a Nikol je svakako to učinila sa životom Marte Gelhorn. Pored toga, projekti poput ""Dogvila"" i ""Zečje jame"" se teško mogu smatrati pogrešnim.",None,None,None,None,None,Negative,None
20,"naravno da vam je ovaj film prosečan kad ga upoređujete sa dark knightom koji je po meni najbolji akcioni triler ikada, a u poređenju sa ostalim akcijama msm da je ovaj film fantastičan :)",None,None,None,None,Positive,None,None
21,"Napeto u nekim delovima, sa solidnom pričom, fenomenalnom glumom (favoriti: Hardi i Hatavej), fantastičnim epilogom... Ipak, kad se ceo film sagleda - ne ostavlja ni približan utisak kao što je bio slučaj sa prethodnim delom. Previše isforsirano i pomalo kritično za držanje pažnje u prvih sat vremena. 7.5/10",Neutral,None,Positive,None,Neutral,None,None
24,"Film je odličan, pogotovo kada se oba Dark nastavka gledaju u malim vremenskim intervalima.... Ne kapiram čemu korišćenje IMAX kamere, zašto onda nije koristio ceo film ili za samo određene scene, nego ide u cik cak fazonu što je meni krajnje iritantno.",None,None,None,None,Positive,None,None
27,"Moram da priznam da je meni bio poprilično nezanimljiv i spor, (posebno) kad se uporedi sa ""Mračnim vitezom"" a i ovako... No hard feelings... (za vas fanove)... A i kraj je predvidiv... ne znam nije ostavio utisak na mene...",None,None,None,None,Negative,None,None
28,"Iako dugo očekivan, film na kraju ipak nije ostavio utisak na mene. Prvih sat vremena je poprilično dosadan i neubedljiv, a druga polovina filma mi se čini kao prekomerni trud da se nadoknadi manjkavost prve polovine... Samo ću spomenuti kao i uvek odličnog Tom Hardy-ja, bravo i svaka čast!",None,None,Positive,None,Negative,None,None
31,Apsolutni klasik.,None,None,None,None,Positive,None,None
34,Baš sam skoro pogledao ovaj film.. onako nasumice iz direktorijuma ga izaberem a da prethodno nisam čitao nikakve recenzije i bio zaista prijatno iznenađen. Zaista jedan od boljih filmova koje sam odgledao u poslednje vreme. Za svaku preporuku!,None,None,None,None,Positive,None,None
35,Ovaj film obavezno gledam barem jednom godišnje. Savršen je.,None,None,None,None,Positive,None,None
36,"Super film, lagan i opuštajući! Odlično!",None,None,None,None,Positive,None,None
41,Film je odličan!!!,None,None,None,None,Positive,None,None
44,"Последњи РЕЦ ми изгледа као филм који је направљен да се попуне девизни рачуни на основу старе славе. Шалу на страну, филм није лош али није ни упола узбудљив и динамичан као прва два дела.",None,None,None,None,Neutral,None,None
47,"Ne zaboravimo i fantastičnu numeru koju izvodi Demijen Rajs, koja je na početku filma...",None,None,None,Positive,None,None,None
48,fantastična romantična drama!,None,None,None,None,Positive,None,None
49,ovaj film je za mene totalno razočarenje. toliko godina smo čekali na novog spajdermena i šta smo dobili jedan prosečan film.,None,None,None,None,Negative,None,None
51,"Retko se slažem ali u ovom slučaju se potpuno slažem sa tobom, smatram da je prvi Spajdermen mnogo emotivniji od ovog, a da ne pričam da je Vilijem Defo triput bolji negativac.",None,None,None,None,None,Positive,None
52,"Film me baš razočarao, očekivao sam puno a ništa, radnja je pravolinijska od početka se zna šta će se desiti na kraju, jedina dobar stvar je gluma ellen page i to je sve...",None,None,Positive,None,Negative,None,None
53,ne volim baš ovakvu vrstu filmova meni nije nešto posebno,None,None,None,None,Negative,None,None
54,ovaj film sam gledao ni sam ne znam koliko puta i mogu reći pravo remek delo.,None,None,None,None,Positive,None,None
56,Sve je rečeno što se trebalo reći o ovome filmu. Čista 10!,None,None,None,None,Positive,None,None
61,Vanvremenski film sa vanvremenskom porukom. Briljantno...,None,None,None,None,Positive,None,None
62,"U potpunosti se slažem sa tvojom recenzijom, remek delo šta drugo reći.",None,None,None,None,Positive,Positive,None
63,"Jedan od najboljih filmova ikad, kako mi je drago što se odradili recenziju!!!",None,None,None,None,Positive,None,None
64,Film je vrrrrhunski!,None,None,None,None,Positive,None,None
65,Čista 10-ka!! Jedan od retkih koji me je terao da iz petnih žila navijam za glavnog aktera do poslednjeg trenutka filma...,None,None,None,None,Positive,None,None
66,"E vala, sad ga pretera da je u top 10 najboljih filmova... Al dobro, ukusi su različiti... :)",None,None,None,None,None,Negative,None
68,molio bih recenziju filma čudotvorac sa Met Dejmonom i Denijem De Vitom u glavnim ulogama meni je film sjajan,None,None,None,None,Positive,None,None
69,"Ovo je ekstremno glup film! Volim horor, o Kopoli ne treba trošiti reči, ali ovo... kakvo razočaranje....",None,None,None,None,Negative,None,None
