,Unnamed: 0,text,Radnja,Rezija,Gluma,Muzika,Opsti utisak film,Opsti utisak komentar,Specijalni efekti
0,0.0,"Film je užasan, realna ocena 2/10. Ako vam se gleda zabavan horor koji ismeva klišee pogledajte Detention.",None,None,None,None,Negative,None,None
1,2.0,Interesantan!,None,None,None,None,Positive,None,None
2,3.0,"Odličan film, odlična recenzija.",None,None,None,None,Positive,Positive,None
3,4.0,Treba dodati i fantastičnu muziku koja prati ceo film...,None,None,None,Positive,None,None,None
4,6.0,"Dobar film, vrlo dobar. Recenzija je sve objasnila. P.S. Ja bih samo dodao, još jedna potvrda one narodne, da su žene - nužno zlo. ;-)",None,None,None,None,Positive,None,None
5,10.0,meni je ovo super film s obzirom da nisam baš fan naučne fantastike ali je ovo dobro ostvarenje Šeron je sjajna naravno,None,None,Positive,None,Positive,None,None
6,12.0,sećam se ovog horora iz klinačkih dana... mnogo dobar..  pomahnitala pena.. tako su ga prevodili na vhs kasetama.. :),None,None,None,None,Positive,None,None
7,13.0,"Savršen film, opravdana 10ka. Mada mi je od pomenutog režisera draži ""There will be blood"".",None,None,None,None,Positive,None,None
8,14.0,sjaajan.. svaka preporuka i opravdana ocena 10/10...,None,None,None,None,Positive,None,None
9,15.0,"Vrhunski film, stvarno svaka čast! Reditelja za predsednika! Velemajstorski!",None,Positive,None,None,Positive,None,None
10,16.0,"Well said :-) Prelep film... slažem se, jedna od najboljih adaptacija. I glumačka postava je briljirala.",None,None,Positive,None,Positive,None,None
11,18.0,"Stvarno genijalno, odlično odrađeno! Svaka čast, genijalna gluma, kao da su klonovi! A o kampanjama, bilo kakvim, ne treba dodatno trošiti reči. Super film.",None,None,Positive,None,Positive,None,None
12,19.0,"Osuda Nikoline glume je krajnje neosnovana. Nije osnovni smisao filma prikazati nečiji naglasak, već ispričati priču o nečijem životu, a Nikol je svakako to učinila sa životom Marte Gelhorn. Pored toga, projekti poput ""Dogvila"" i ""Zečje jame"" se teško mogu smatrati pogrešnim.",None,None,None,None,None,Negative,None
13,20.0,"naravno da vam je ovaj film prosečan kad ga upoređujete sa dark knightom koji je po meni najbolji akcioni triler ikada, a u poređenju sa ostalim akcijama msm da je ovaj film fantastičan :)",None,None,None,None,Positive,None,None
